,id,diagnosis,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst,Unnamed: 32
count,569.0,569,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,0.0
unique,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,30371831.432337433,,14.127291739894552,19.289648506151142,91.96903339191564,654.8891036906855,0.09636028119507908,0.10434098418277679,0.0887993158172232,0.04891914586994728,0.18116186291739894,0.06279760984182776,0.40517205623901575,1.2168534270650264,2.866059226713533,40.337079086116,0.007040978910369067,0.025478138840070295,0.03189371634446397,0.011796137082601054,0.02054229876977153,0.0037949038664323374,16.269189806678387,25.677223198594024,107.26121265377857,880.5831282952548,0.13236859402460457,0.25426504393673116,0.27218848330404216,0.11460622319859401,0.2900755711775044,0.08394581722319859,
std,125020585.61222365,,3.5240488262120775,4.301035768166949,24.298981038754906,351.914129181653,0.014064128137673618,0.052812757932512194,0.07971980870789348,0.038802844859153605,0.027414281336035715,0.007060362795084459,0.2773127329861039,0.5516483926172023,2.0218545540421076,45.49100551613181,0.0030025179438390656,0.017908179325677388,0.03018606032298841,0.006170285174046869,0.008266371528798397,0.002646070967089195,4.833241580469323,6.146257623038319,33.602542269036356,569.356992669949,0.022832429404835465,0.15733648891374197,0.2086242806081323,0.06573234119594207,0.06186746753751869,0.018061267348893986,
min,8670.0,,6.981,9.71,43.79,143.5,0.052629999999999996,0.01938,0.0,0.0,0.106,0.049960000000000004,0.1115,0.3602,0.757,6.8020000000000005,0.001713,0.002252,0.0,0.0,0.007882,0.0008948000000000001,7.93,12.02,50.41,185.2,0.07117000000000001,0.02729,0.0,0.0,0.1565,0.05504,
25%,869218.0,,11.7,16.17,75.17,420.3,0.08637,0.06492,0.029560000000000003,0.020309999999999998,0.1619,0.0577,0.2324,0.8339,1.6059999999999999,17.85,0.005169,0.013080000000000001,0.015090000000000001,0.007638,0.01516,0.002248,13.01,21.08,84.11,515.3,0.1166,0.1472,0.1145,0.06493,0.2504,0.07146,
50%,906024.0,,13.37,18.84,86.24,551.1,0.09587000000000001,0.09262999999999999,0.06154,0.0335,0.1792,0.06154,0.3242,1.1079999999999999,2.287,24.53,0.006379999999999999,0.02045,0.025889999999999996,0.01093,0.01873,0.003187,14.97,25.41,97.66,686.5,0.1313,0.2119,0.2267,0.09992999999999999,0.2822,0.08004,
75%,8813129.0,,15.78,21.8,104.1,782.7,0.1053,0.1304,0.1307,0.07400000000000001,0.1957,0.06612,0.4789,1.474,3.3569999999999998,45.19,0.008145999999999999,0.03245,0.04205,0.014709999999999999,0.02348,0.0045579999999999996,18.79,29.72,125.4,1084.0,0.146,0.3391,0.3829,0.1614,0.3179,0.09208,
max,911320502.0,,28.11,39.28,188.5,2501.0,0.1634,0.3454,0.4268,0.2012,0.304,0.09744,2.873,4.885,21.98,542.2,0.03113,0.1354,0.396,0.05279,0.07895,0.02984,36.04,49.54,251.2,4254.0,0.2226,1.058,1.252,0.29100000000000004,0.6638,0.2075,
